model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,log_loss,roc_auc,brier_score,cv_mean,cv_std,overfit
SVM (RBF kernel),0.9722222222222222,0.9731863442389759,0.972059202059202,0.9720324746799728,0.9721959615328722,0.12265367219439989,0.9993151049910308,0.04217611943899902,0.9811991869918699,0.008139639128635141,0.00897696476964771
K-Nearest Neighbours,0.9694444444444444,0.9706291010875052,0.969122694122694,0.968929230043568,0.9691838270025029,0.3572664784020694,0.9949893685902744,0.05,0.9742499032133178,0.004188649846988856,0.004805458768873394
MLP Neural Network,0.9694444444444444,0.9704074114600431,0.969043329043329,0.9687882970460627,0.9691635458459691,0.13430520717754668,0.996777434678908,0.048693341852856786,0.96937185443283,0.006785367702957297,-7.259001161441514e-05
QDA,0.9555555555555556,0.9565277354422091,0.9554633204633204,0.9554607821732061,0.9554829772538587,0.8859417037792708,0.986628605396608,0.08250136209437657,0.957532423538521,0.012185281842671503,0.001976867982965369
Logistic Regression,0.9555555555555556,0.9557553794395901,0.9552380952380952,0.955277442432372,0.9556653314951438,0.1471667318012037,0.9979110741795927,0.07408747689585561,0.9582438056523422,0.012465408885148188,0.0026882500967866374
LDA (Fisher),0.9527777777777777,0.9526328871994506,0.9523015873015874,0.9523203104538155,0.9526858499063114,0.1989781367484757,0.9977376274513069,0.07670709579247849,0.9547546457607433,0.010375436397344036,0.001976867982965591
Random Forest,0.9527777777777777,0.9548509168690128,0.9525311025311026,0.9527105403264923,0.9527134389209398,0.41117259762642866,0.9978619528916514,0.15724808641975307,0.9631097560975611,0.0102639481389762,0.010331978319783386
Gradient Boosting,0.9194444444444444,0.921032061473238,0.9188803088803089,0.9187512324365169,0.9191474534024245,0.495492480782112,0.9945421486466665,0.13756904663029493,0.9185588463027488,0.019107699679483458,-0.0008855981416956427
Gaussian Naive Bayes,0.9111111111111111,0.9149879849879851,0.9108472758472759,0.9116261777317718,0.9121011695302931,0.8139608633734873,0.9812557968681549,0.14857928969221748,0.8774825783972127,0.029524274693679728,-0.03362853271389843
